Fransızca;Türkçe
genré;cinsiyetlendirilmiş
gentrification;soylulaştırma
ghosting;ghostlamak
grève de la faim;açlık grevi
gynocentrisme;ji̇nosentri̇zm
génération ;nesil 
genre;cinsiyet
goût préférences;zevkler tercihler, tat
groupe social;grup sosyal
hétérogamie;heterogami
hétérosocialité;heterososyallik
heuristique;sezgisel yöntemler
hominisme;hominizm
homme;adam, insan
homme blanc;beyaz adam
héritage;miras, kalıntı
homosexualité hétérosexualité;homoseksüellik heteroseksüellik
idéologie;İdeoloji
immigration;Göçmenlik
imputation causale;nedensel imputasyon
indicateur;gösterge
individualisation;bireyselleştirme
individualisme méthodologique;metodolojik bireycilik
inégalité;eşitsizlik
inférence statistique;istatistiksel çıkarım
innovation changement culturel;inovasyon kültürel değişim
insertion sociale;yerleştirme sosyal
institution intégration;kurum entegrasyonu
interaction sociale;etkileşim sosyal
interdépendance;karşılıklı bağımlılık
intérêt;ilgi
intermédiarité;medyalararasılık
interprétation;yorumlama
jeu;oyun
justice justification;adalet gerekçe, doğrulama
légitimité;meşruluk
lexicométrie lien social;leksi̇kometri̇ sosyal bağlantı
lutte des classes;sınıf mücadelesi
lutte symbolique;sembolik mücadele
Marché;Pazar, yürüyüş, eylem
mémoire collective;kolektif bellek
mobilisation;seferberlik
mobilité sociale;sosyal hareketlilik
modèle scientifique;model bilimsel
mondialisation;küreselleşme
morale;ahlak
morphologie sociale;sosyal morfoloji
mouvement ouvrier;emek hareketi
mouvement social;toplumsal hareket
Norme;norm
Observation;gözlemleme
Opinion;Görüş, fikir
Ordinaire;Sıradan
ordre social;sosyal düzen
organisation;organizasyon
origine sociale;sosyal köken
ouvrier;işçi
socio-génétique;sosyo-genetik
sociologie de la consommation la prise de repas Collective les conditions sociales de la production alimentaire ;tüketi̇m sosyoloji̇si̇ kolekti̇f yeme gıda üreti̇mi̇ni̇n toplumsal koşulları 
salaire salariat;ücretler wage-earning
science;Bilim
socialisation;sosyalleşme
solidarité;dayanışma
sport sociologie;spor sosyoloji
stigmatisation;damgalama
stratégie;strateji̇
stratégie de reproduction ;üreme stratejisi 
stratification sociale;sosyal tabakalaşma
structure sociale;yapı sosyal
style de vie;yaşam tarzı
système social;sosyal sistem
perte d’unité de la science;bilimde birlik kaybı
pathologie sociale;patoloji sosyal
patron patronat;patron patronat
paysan paysannerie;köylü peasantry
politique sociologie politique;siyaset siyaset sosyolojisi
populaire;popüler
position sociale;pozisyon sosyal
pouvoir;güç
pratique;uygulama
précarité;güvencesizlik
prix;fiyat
problème public, social;sorun kamusal, sosyal
profession;meslek
protection sociale;sosyal koruma
qualification formation;yeterlilik eğitim
qualification définition;yeterlilik tanım
quantification;niceleme
questionnaire;anket
rapport de forces;güç dengesi
rationalité;rasyonellik
réciprocité;mütekabiliyet
réflexivité;düşünümsellik
régression;regresyon
régularité;düzenlilik
relations interpersonnelles, structurelles, statistiques;ilişkiler kişiler arası, yapısal, istatistiksel
relations professionnelles industrielles;profesyonel i̇li̇şki̇ler endüstri̇yel
répertoire d’action Collective;eylem repertuarı Kolektif
représentation sociale;temsil sosyal
représentation porte-parole;temsil sözcü
Reproduction;Üreme
réseau social;sosyal ağ
ressource;Kaynak
rite rituel;rite ritüel
rôle;rol
rural vs. urbain, sociologie rurale vs. sociologie urbaine;kırsal kente karşı, kırsal ve kentsel sosyoloji
temps sociologie du;zaman sosyolojisi
théorie sociologique;sosyoloji̇k teori̇
trajectoire travail;iş yörüngesi
travail;iş
valeur éthique;değer etik
valeur sociale;değer sosyal
variable;değişken
vote;oylama
abréaction, thérapie par l'abréaction;açığa çıkarma, açığa çıkarma terapisi 
groupes ouverts;açık gruplar 
fonction manifeste;açık İşlev 
observation participante;açık katılımcı gözlem 
Société ouverte et société fermée;açık ve kapalı toplumlar 
réponse ouverte, question ouverte;açık yanıt, açık uçlu soru
explication;açıklama
Explication, explanandum and explanans -explicandum and explicans;açıklanan ve açıklayanlar açımlanan ve açımlayanlar explanandum and explanans -explicandum and explicans
dualisme explicatif;açıklayıcı ikicilik düalizm
réduction explicative;açıklayıcı indirgeme 
îlot;adacık
justice;adalet 
adaptation, modes d'adaptation individuelle;adaptasyon uyum, bireysel adaptasyon uyum tarzları 
culture adaptative;adapte edici kültür 
culture adaptative et matérielle;adapte edici ve maddi kültür 
réseau, réseau social, théorie des réseaux;ağ, toplumsal ağ, ağ kuramı 
mobilité des réseaux;ağ mobilitesi 
familisme amoral;ahlakdışı ailecilik 
entreprise morale;ahlâki atılım 
statistiques morales;ahlâki istatistikler 
panique morale;ahlâki panik 
entreprise morale;ahlâki atılımcı
mobilisation morale;ahlâki seferberlik 
communauté morale;ahlâki cemaat 
risque moral;ahlâki tehlike 
SIDA, études sociologiques sur le SIDA;AİDS, sosyolojik AİDS araştırmaları 
famille, famille nucléaire;aile, çekirdek aile 
famille, famille de mari/femme;aile, karı/koca ailesi
famille, souche famille;aile, kök aile 
famille, symétrique famille;aile, simetrik aile 
théorie des systèmes familiaux;aile sistemleri kuramı 
sociologie de la famille;aile sosyolojisi 
salaire familial;aile ücreti 
maladie mentale;akıl hastalığı 
thérapie familiale;aile terapisi 
théorie du choix rationnel;akılcı seçim kuramı 
théorie des systèmes rationnels, perspective des systèmes rationnels;akılcı sistemler kuramı, akılcı sistemler perspektifi 
rationalisation;akılcılaşma rasyonalizasyon 
état rationnel;akılcı devlet 
théorie de l'action rationnelle;akılcı eylem kuramı
rationalité, action rationnelle;akılsallık rasyonalite, akılcı eylem 
rationalité, formelle;akılsallık, biçimsel 
rationalité, substantive;akılsallık, içeriksel 
rationalité fonctionnelle;akılsallık, işlevsel
Kinship;akrabalık 
privation transmise;aktarılmış yoksunluk 
recherche sur le terrain;alan çalışması 
théorie du champ;alan kuramı 
hypothèses de domaine;alan varsayımları 
corrélation fallacieuse;aldatıcı korelasyon 
expérience sur le terrain;alan deneyi 
perception;algılama 
alcoolisme;alkolizm 
sous-culture;alt-kültür
algorithme;algoritma 
mouvement alternatif;alternatif hareket 
technologie alternative;alternatif teknoloji 
théorie empirique;ampirik temele dayalı kuram 
empirique;ampirik 
empirisme;ampirizm
empirisme, logistique;ampirizm, mantıkçı 
empirisme, abstrait;ampirizm, soyutlanmış
statut de maître;ana statü 
matriarcat;anaerkillik 
marxisme analytique;analitik Marksizm
induction analytique;analitik tümevarım 
unité d'analyse;analiz birimi 
anarchie, épistémologique;anarşi, epistemolojik 
anarchisme;anarşizm 
matrilinéaire;anasoylu 
animisme;animizm canlıcılık 
Questionnaire;anket
recherche par enquête sociale;anket araştırması, toplumsal anket araştırması 
sens, action significative;anlam, anlamlı eylem 
compréhension;anlama 
tests de signification;anlamlılık testleri 
accord, méthode d'accord;anlaşma, anlaşma yöntemi 
Annales scolaires;Annales Okulu 
parentalité, éducation des enfants;anne-babalık, ebeveynlik
mère, maternité;annelik 
taux de mortalité maternelle;anne ölümlülük oranı
privation maternelle;anne yoksunluğu 
antipsychiatrie;antî-psikiyatri 
anti-naturalisme;anti-doğalcılık 
anti-nomosianisme;anti-nomosçuluk 
instrumentalisme;araçsalcıllık instrumentalism
échelle d'intervalle;aralık ölçekleri 
unité d'enquête;araştırma birimi 
anthropologie;antropoloji 
apartheid;apartheid 
technologie intermédiaire;ara teknoloji 
éthique de la recherche;araştırma etiği
raison instrumentale;araçsal akıl 
lien instrumental;araçsal bağ 
orientation instrumentale du travail;araçsal çalışma yönelimi
instrumentalisation de la foule;araçsal kalabalık 
catégories ou intervalles successifs;ardışık kategoriler ya da  aralıklar 
analyse de séquences;ardışıklık analizi 
conception de la recherche;araştırma tasarımı
aristocratie;aristokrasi 
moyenne arithmétique;aritmetik ortalama
valeur excédent;artı değer
Surplus drain;artık çekme 
diachronie;artzamanlılık diachrony
désir;arzu 
revenu initial;asıl gelir
hypothèse de l'asymétrie;asimetri hipotezi 
processus causal asymétrique;asimetrik nedensel süreçler
société asymétrique;asimetrik toplum 
assimilation;asimilasyon 
capitalisme militaire;askeri kapitalizm 
complexe militaro-industriel;askeri-sınai kompleks 
groupe primaire;asli grup
école d'Aston;Aston Okulu
mode de production asiatique;Asya tipi üretim tarzı
sous-classe;aşağı sınıf 
Théorie du ruissellement;aşağıya damlama etkisi 
sur-urbanisation;aşırı kentleşme 
cérémonie de dégradation;aşağılama töreni 
conception sur-socialisée de l'homme;aşırı toplumsallaşmış insan anlayışı 
transcendantalisme;aşkıncılık 
patriarcat;ataerkillik 
Sociétés de chasseurs-cueilleurs;avcı ve yiyecek toplayıcı toplumlar 
statut attribué;atfedilen statü 
attribution;atfetme 
atomisme;atomculuk
émeute;ayaklanma
Lumières;Aydınlanma 
classe de loisirs;aylak sınıf 
miroir;ayna benliği 
phase miroir dans le développement de l'enfant phase miroir du développement de l'enfant;ayna evresi çocuğun gelişiminde
ségrégation;ayrım 
analyse discriminante;ayrımcı analiz 
discrimination;ayrımcılık 
discrimination, institutionnalisée;ayrımcılık, kurumsallaşmış
discrimination, positive;ayrımcılık, pozitif 
méthode différentielle sémantique;ayrımsal anlam yöntemi 
description épaisse;ayrıntılı betimleme 
courbe d'offre de travail rétrograde;azalmaya eğilimli emek arzı eğrisi 
groupe minoritaire;azınlık grubu 
paternité;babalık
patrilinéaire;babasoylu
paternel, paternalisme;babayanlı, babayanlılık
dépendance, dépendance;bağımlı, bağımlılık 
population dépendante;bağımlı nüfus
théorie de la dépendance;bağımlılık kuramı 
variable dépendante;bağımlı değişken 
variable indépendante;bağımsız değişken 
dépendance;bağımlılık oram 
indépendance;bağımsızlık 
modèles contextuels;bağlamsal modeller 
capital fixe;bağlı sermaye 
horticulture, sociétés horticoles;bahçıvanlık, bahçıvan toplumlar 
regard;bakış 
banques, développement;bankalar, kalkınma
suburbanisation;banliyöleşme suburbanization
banlieue;banliyölülük suburbanism
production de marchandises simples;basit meta üretimi
échantillonnage aléatoire simple;basit tesadüfi örnekleme 
groupes de pression;baskı grupları 
pouvoir coercitif;baskıcı İktidar
répression;baskılanma
réalisation;başarı 
accomplissement motivation;başarı güdüsü 
Proposition de réussite;Başarı Önermesi
imposer un rôle à quelqu'un d'autre;başkasına rol yükleme 
intérêt central de la vie;başlıca İlgi alanı 
titre;başlık 
taux de mortalité infantile;bebek ölümlülük oranı 
développement de l'enfant;bebeklik, bebeğin gelişimi
Compétence, capacité;beceri
langage corporel;beden dili 
connaissance des mouvements du corps kinésique;beden hareketleri bilgisi kinesics
sociologie du corps;beden sosyolojisi sociology of body
perte de mémoire, rétrograde, amnésie;bellek yitimi, geriye dönük 
suicide égoïste;bencilce intihar egoistic suicide
égoïsme;bencillik egoizm
coefficient de Benini;Benini katsayısı 
recherche documentaire;belgesel araştırma 
trait d'organisation central;belirleyici ana özellik 
soi;benlik
égocentrisme;benmerkezcilik 
révélation de soi;benlik İfşaatı 
hypothèse de similarité;benzerlik hipotezi 
Self Psychology;benlik psikolojisi self-psychology
indice de dissemblance;benzersizlik endeksi 
statistiques descriptives;betimleyici istatistik 
cols blancs;beyaz yakalı iş 
mesures de dissimilarité;benzersizlik ölçüleri 
criminalité en col blanc;beyaz yakalı suçu 
rationalité formelle;biçimsel akılsallık 
cristallisation, statut;berraklaşma, statü 
poids bêta;beta ağırlıkları 
analyse des composantes;bileşen analizi 
analyse des composants;bileşim yanılgısı
sociologie de la connaissance;bilgi sosyolojisi
informateur, sujet;bilgi veren, denek 
gestion des connaissances;bilginin yönetimi 
Entretien personnel assisté par ordinateur;Bilgisayar Destekli Kişisel Görüşmeler 
Interview téléphonique assistée par ordinateur;Bilgisayar Destekli Telefon Görüşmeleri 
programmes d'ordinateur;bilgisayar program paketleri 
sociologie de la science;bilim sosyolojisi 
sociologie de la connaissance scientifique;bilimsel bilgi sosyolojisi 
révolutions scientifiques;bilimsel devrimler 
gestion scientifique;bilimsel yönetim 
méthode scientifique;bilimsel yöntem 
conscience, classe;bilinç, sınıf 
conscience, sociale;bilinç, toplumsal 
conscience, fausse;bilinç, yanlış, yanlış bilinç 
inconscient;bilinçdışı 
cognition;biliş 
cohérence cognitive;bilişsel tutarlılık 
théorie de la cognition;biliş kuramı
dissonance cognitive;bilişsel uyumsuzluk
psychologie cognitive;bilişsel psikoloji 
sociologie cognitive;bilişsel sosyoloji 
cognition, cognitive;bilme yetisi, biliş, bilişsel 
millenarianism;binyılcılık
chiliasm;binyıllık egemenlik öğretisi
individualism;bireycilik
accumulation;birikim 
acte d'unité;birim edim
Constructions de premier ordre;birinci dereceden kurgular 
les pays industrialisés;Birinci Dünya 
marché du travail primaire;birincil emek piyasası 
Zone statistique métropolitaine primaire;Birincil Metropol İstatistiki Alanı 
secteur primaire;birincil sektör 
déviance primaire et secondaire;birincil ve ikincil sapkınlık 
Zone statistique métropolitaine consolidée;Birleştirilmiş Metropol İstatistiki Alanı 
démocratie unie ;birlikçi demokrasi 
co-détermination ;birlikte belirleme
concubinage;birlikte yaşama
concurrence biotique;biyotik rekabet
rapport noir ;Black Raporu 
modèle bio-psycho-social ;biyo-psiko-sosyal model 
modèle bio-médical ;biyo-tıbbi model 
analogie biologique ;biyolojik analoji 
réduction biologique, biologisme;biyolojik indirgemecilik, biyoloJizm 
société d'abondance;bolluk toplumu
servitude pour dettes;borç bağı
hypothèse de l'état vierge ou de la feuille blanche;boş levha ya da beyaz sayfa hipotezi blank-state or blank-paper hypothesis
loisirs;boş zaman
activité de loisir;boş zaman faaliyeti
divorce ;boşanma 
zonage;bölgelere ayırma 
taux de divorce;boşanma oranı 
marché du travail divisé;bölünmüş emek piyasası 
sociétés segmentaires;bölünmüş toplumlar 
justice distributive;bölüştürücü adalet 
pouvoir de distribution;bölüştürücü güç 
bouddhisme;Budizm 
contagion;bulaşma 
dispositif heuristique;bulgulayıcı yöntem 
embourgeoisement, thèse de l'embourgeoisement ;burjuvalaşma, burjuvalaşma tezi 
orientation bureaucratique du travail;bürokratik çalışma yönelimi
socialisme bureaucratique ;bürokratik sosyalizm 
holisme;bütüncülük holizm
magie, sorcellerie et l'enchantement;büyü, büyücülük ve kara büyü 
droit d'aînesse primogéniture;büyük evlât hakkı ekberiyet 
grande théorie;büyük kuram 
dissuasion;caydırma
communauté;cemaat topluluk 
enquêtes communautaires;cemaat anketleri 
études communautaires;cemaat araştırmaları
soins de santé;cemaat bakımı 
contrôle communautaire;cemaat denetimi 
sécurité de la communauté;cemaat güvenliği 
pouvoir de la communauté;cemaat iktidarı 
justice rétributive;cezalandırıcı adalet 
sociologie de Chicago, école de Chicago;Chicago sosyolojisi, Chicago Okulu 
communautarisme, communautarisme ;cemaatçi, cemaatçilik 
pénologie ;ceza bilimi 
division sexuelle du travail;cinsel işbölümü 
sexualité sexe;cinsellik 
genre sexe;cinsiyet
genre social ;cinsiyet toplumsal
discrimination sexuelle;cinsiyet ayrımcılığı 
discrimination sociale fondée sur le sexe;cinsiyet toplumsal ayrımcılığı 
rôles de genre rôles de sexe;cinsiyet rolleri 
sex-ratio ;cinsiyet oranı 
sexisme;cinsiyetçilik seksizm
sexisme institutionnalisé;cinsiyetçilik, kurumsallaşmış 
géographie;coğrafya 
stéréotypes sociaux de genre stéréotypes de genre;cinsiyet toplumsal stereotipleri 
compadrazgo ;compadrazgo 
connubium ;connubium 
effort bargaining;çaba pazarlığı
interpellation;çağırma
socialisation au travail;çalışırken toplumsallaşma 
groupes de travail;çalışma grupları 
environnement de travail ;çalışma ortamı 
éthique du travail;çalışma etiği 
satisfaction au travail;çalışma tatmini 
Qualité de vie au travail ;Çalışma Yaşamında Kalite Hareketi
conflit, conflit social ;çatışma, toplumsal çatışma 
orientation du travail;çalışma yönelimi 
conflit, industriel ;çatışma, endüstriyel 
cousins croisés;çapraz kuzen 
théorie du conflit;çatışma kuramı 
famille à classes croisées ;çapraz sınıflı aile 
tableau croisé, classification croisée;çapraz tablolama, çapraz sınıflandırma 
asymétrie;çarpıklık 
contradiction;çelişki, çelişme 
sujet de classe contradictoire emplacement de classe contradictoire;çelişkili sınıfsal konu 
cadre, cadrage, analyse du cadre ;çerçeve, çerçeveleme, çerçeve analizi 
entretien non structuré;çerçevesi belirlenmemiş görüşme 
questionnaire structuré;çerçevesi belirlenmiş anket 
entretien structuré;çerçevesi belirlenmiş görüşme 
environnement;çevre 
criminologie environnementale;çevre kriminolojisi 
statistiques inférentielles;çıkarımsal istatistik 
sociologie de l'environnement;çevre sosyolojisi 
groupe d'intérêt;çıkar grupları 
intérêts;çıkarlar 
constellation d'intérêts;çıkarlar kümesi 
descente bilatérale;çift taraflı soy 
distribution bimodale;çift tepe değerli dağılım 
pastoralisme ;çobanıllar, çobanıllık
abus d'enfants;çocuk istismarı 
enfance;çocukluk 
délinquance juvénile;çocuk suçluluğu
sociétés plurielles;çoğulcu toplumlar
systèmes sociaux pluriels;çoğulcu toplumsal sistemler 
pluralisme;çoğulculuk 
pluralisme, épistémologique;çoğulculuk, epistemolojik 
échantillon à plusieurs degrés;çok aşamalı örneklem 
analyse multivariée;çok değişkenli analiz 
modèles multiniveaux ;çok düzeyli modeller 
polygamie;çokeşlilik
polygynie;çokkarılılık 
multicolinéarité;çoklu doğrusal ilişki 
régression linéaire multiple;çoklu doğrusal regresyon 
polyandrie;çokkocalılık 
privation multiple;çoklu yoksunluk 
symboles multi-vocaux;çoksesli semboller 
polythéisme;çoktanrıcılık 
société multiculturelle;çokkültürlü toplum
régression logistique multinationale ;çokuluslu lojistik regresyon 
société multinationale;çokuluslu şirket 
graphique en barres;çubuk grafik 
distribution; dağılım
mesures de dispersion; dağılma ölçüleri
foules diffuses; dağınık kalabalık
stigmate; damga
darwinisme; Darwincilik
agrégat; data veri yığını
série chronologique; data zaman serisi verileri
comportement; davranış
thérapie comportementale; davranış terapisi
comportementalisme; davranışçılık
conformité comportementale; davranışsal uyumculuk
solidarisme; dayanışmacılık
Proposition de valeur; Değer Önermesi
pertinence de la valeur; değer-ilişkisi
recherche sur l'évaluation; değerlendirme araştırması
valeur-liberté; değer-özgürlüğü
valeur-neutralité; değer-tarafsızlığı
jugement de valeur; değer-yargıları
changement; değişim
gamme ; değişim aralığı
variable; değişken
variables paradigme; değişkenler paradigması
folie; delilik
démobilisation; demobilizasyon
démographie; demografi
transition démographique; demografik geçiş
démocratie; demokrasi
socialisme démocratique; demokratik sosyalizm
contrôle; denetim
groupe de contrôle; denetim grubu
expérience; deney
effets de l'expérimentateur; deneyci etkisi
contrôle expérimental; deneysel denetim
conception expérimentale; deneysel tasarım
méthode expérimentale; deneysel yöntem
équilibre; denge
théorie de l'équilibre; denge kuramı
 pouvoir compensateur; dengeleyici güçler
déséquilibre; dengesizlik
dépression; depresyon
comportement en classe; derslik davranışı
interaction en classe; derslik etkileşimi
despotisme; despotizm
decile range; deşil onabölen aralığı
déterminisme; determinizm
capitalisme d'état; devlet kapitalizmi
crimes de l'état; devlet suçları
capitalisme monopolistique d'État; devlet tekelci kapitalizmi
appareil d'État répressif; devletin baskı aygıtları
sociétés sans État; devletsiz toplumlar
changement cyclique; devrevi değişim
chômage cyclique; devrevi işsizlik
science révolutionnaire; devrimci bilim
aide étrangère; dış yardım
extraversion; dışadönüklük
travail à domicile; dışarıda çalışma
hors-groupe; dış-grup
exclusion; dışlama
variables exogènes; dışsal değişkenler
marché du travail externe; dışsal emek piyasası
satisfaction extrinsèque; dışsal tatmin
externalisation; dışsallaştırma
externalité; dışsallık
diaspora; diaspora
identités de la diaspora; diaspora kimlikleri
suicide altruiste; diğerkâmca intihar 
altruisme; diğerkâmlıközgecilik 
intégration verticale; dikey entegrasyon
langue; dil
linguistique; dilbilim
thèse sur la relativité linguistique; dilbilimsel görelilik tezi
cohorte; dilim
analyse de cohorte; dilim analizi
taux de cohorte; dilim oranları
religion; din
densité dynamique; dinamik yoğunluk
profane; dindışı
réveil religieux; dinsel canlanma
fondamentalisme religieux; dinsel fundamentalizm
religiosité; dinsellik
maladie du diplôme; diploma hastalığı
probabilité; distribution olasılık 
matérialisme dialectique; diyalektik materyalizm
indexicalité; dizinsellik
nature; doğa
Sciences de la nature; doğa bilimleri
zone naturelle; doğal alan
sélection naturelle; doğal ayıklanma
expérience naturelle; doğal deney
loi naturelle; doğal hukuk
effet -causal- direct; doğrudan nedensel etki
démocratie directe; doğrudan demokrasi
corrélation directe; doğrudan korelasyon
vérification; doğrulama
croissance linéaire; doğrusal büyüme
croissance linéaire; doğrusal korelasyon
régression linéaire; doğrusal regresyon
despotisme oriental; doğu despotizmi
cohorte de naissance; doğum dilimi
taux de natalité; doğum oranı
taux de mortalité périnatale; doğum öncesi ölümlülük oranı
liaison; doğumsal bağlanma
fécondité; doğurabilirlik
fécondité; doğurganlık
taux de fertilité; doğurganlık oranı
pulsions innées; doğuştan gelen dürtüler
capital circulant; dolaşan sermaye
mobilité de la circulation; dolaşım mobilitesi
