Fransızca;Türkçe
par anticipation; önceden, peşinen
Anticipation rationnelle; rasyonel beklentiler
Abstention; sakınma, çekinme, çekimser oy, imtina, kaçınma, uzak durma, vazgeçme
acteur agent; faktör, 
sujet ;özne, konu, 
acteur-réseau;aktör, fail, katılımcı,taraf, edimci, numaracı
action l’action humaine non réflexe ;çalışma, davranış, aksiyon, eylem, faaliyet, fiil, etkime, nüfuz
;
Action Collective ;toplu eylem
Action individuelle ; bireysel eylem
Action publique ;kamu eylemi
Ascétisme; çilecilik, kişisel zevklerden arınma
 Attitude d’auto-restriction; kendi kendini kısıtlayan davranışlarda bulunma
Hédonisme;hedonizm
Attitude; tavır, yaklaşım
Auto-analyse; oto-analiz
Auto-socioanalyse; oto-sosyo-analiz
Autonomie; özerklik, bağımsızlık, otonomi
Autonomie relative ; Nispeten bağımsızlık
Hétéronomie; Dışa bağımlılık 
En toute autonomie ; tam bağımsızlık
Gagner en autonomie ; bağımsızlığını kazanmak
Perte d'autonomie; bağımsızlığını kaybetmek
Travail en autonomie ; bağımsız çalışma
Travailler en autonomie ; bağımsız olarak çalışmak
Autorité; yetki, otorite, bilirkişi, hak, uzman, nüfuz, şahit, mercii
Babyboom; doğum oranındaki ani artış
bas peuple ; alt sınıf, alt tabaka
biais de désirabilité sociale; toplumsal cazibe yanlılığı
bigame; iki eşlilik
blanc; beyaz ırka mensup kimse, beyaz insan
blanchité; beyazlık, beyaz üstünlüğü
bobby-soxer; ergen kız çocuğu
body positivisme; beden olumlama
bonding; bağ kurma, bağlama, birleştirme
bonne société; orta sınıf
bourgeoisie classe sociale; burjuva sınıfı
brassage; insanların birlikte vakit geçirerek temas kurması
bretonnisation; britanyaylılaşma
bridging; bağlama, köprü kurma
barrière à l’entrée ;bariyer
beau un plaisir esthétique, une construction sociale; güzel, iyi
bien symbolique ;sembolik mal, sembolik mülkiyet
biographie; biyografi
 Biographique; biyografik
bonheur un état de bien-être individuel; mutluluk, neşe
bureaucratie; bürokratik
caïnisme;
capacitation;
capital culturel;
capital économique;
capital social;
capital symbolique;
catamnestique;
catholique ultra;
champ;
charge mentale;
charismatique;
choc des cultures;
chombartien;
citoyen de seconde classe;
citoyen de seconde zone;
clan;
classe;
classe dirigeante;
classe géosociale;
classe moyenne;
classe sociale;
classisme;
classiste;
clérico-conservateur;
clérico-national;
clérico-nationaliste;
coanalyse;
coconnage;
codépendance;
colonisé;
communautisation;
communiel;
conduite à risque;
conscience sociale binaire;
conscience sociale triangulaire;
consocié;
construction sociale;
consultocratie;
consumérisme;
contrat social;
convergence culturelle;
convivial;
convivialité;
cool attitude;
cordicole;
cosmopolitisation;
covariance;
CSP-;
CSP+;
CSP++;
culturalisme;
culturation;
culture;
culture de masse;
culture du viol;
culturème;
culturer;
cyberaddiction;
cyberdépendance;
crise économique;
conflit de classe;
cadre cadrage;
- cadre groupe social;
Capital;
- capital culturel;
- capital humain;
- capital social;
- capital symbolique;
Capitalisme;
caractéristiques propriétés sociales socio-démographiques;
caste système des;
catégorie socio-professionnelle [inst];
centralité de réseau;
cerveau;
champ;
changement social;
charisme charismatique;
choix rationnel;
civilisation processus de;
classe sociale;
classification nomenclature, taxinomie, typologie;
coefficient budgétaire [inst];
cohésion sociale;
cohorte [démo];
communication sociologie de la;
comparaison;
compétence;
compréhension;
conditions de travail;
confiance;
configuration sociale;
conflit conflictualité;
conjoncture;
consommation épargne l’usage d’un bien ou d’un service l’achat;
construction de l’objet;
- construction sociale;
Contexte;
contingence tableau de [stat];
contrainte;
controverse;
corps l’apprentissage, l’expérience sociale;
corrélation coefficient de [stat];
croyance;
culture;
cycle fluctuation;
- cycle de vie [démo];
de seconde génération;
décivilisation;
décommodification;
déconjugalisation;
décrocheur;
décrocheuse;
dédiasporisation;
délinquance en col blanc;
démoscopie;
déparentalisation;
dépassionnement;
dépaysannisation;
dépossédé;
dépossédée;
déruralisé;
désagricolisation;
déspécialisation;
déterminisme social;
digital native;
dilemme du commerçant;
discrimination;
discriminer;
distanciation sociale;
diversitaire;
diversité;
dominants;
dominés;
droite;
durkheimien;
dysfonction;
dysphorie;
délégation;
délinquance résultat de conditions sociales;
démocratisation;
description statistique statistique descriptive [stat];
déterminants sociaux;
développement sociologie du;
déviance;
dieux croyance Collective;
différenciation sociale;
discours;
disposition;
domination;
- domination symbolique;
données d’observation [stat];
doxa;
droit sociologie du;
durée;
dynamique;
échec scolaire;
échelle sociale;
écologie;
écosexuel;
EDI;
EDID;
effet Matilda;
effet Werther;
encapacitation;
endogamie;
endogène;
enfant de la loi 101;
engagement;
enterrer sa vie de garçon;
épurateur;
épuratrice;
équation;
essentialisme;
éthico-artistique;
ethnographe;
ethnographie;
ethnographier;
ethnographique;
ethnologie;
ethnométhodologie;
ethnopraxie;
éthos;
étiquetage;
eurodescendant;
évolutionnisme;
exogamie;
expression de genre;
extro-déterminé;
enquête  lister leurs activités quotidiennes;
échange;
échantillonnage [stat];
économie sociologie économique;
éducation sociologie de l’éducation;
effet d’une variable [stat];
- effet d’âge / effet de génération [démo];
- effet de structure [stat];
Élite;
Employé;
endogamie vs. exogamie;
entrepreneur;
entreprise sociologie de l’;
environnement sociologie de l’;
espace physique;
- espace social;
espérance de vie à la naissance [démo];
État;
- État-providence;
Ethnocentrisme;
Ethnographie;
Éthos;
Évaluation;
Évolution;
expérience sociale;
exploitation;
fait social;
falaise de verre;
favela;
féminin;
formariat;
formoisie;
France moche;
francisation;
frange;
FRDA-50;
Front;
Famille;
Féminisation;
finance financiarisation;
fonction sociale;
gabber;
gaiya;
gaytrification;
genre;
genré;
gentrification;
ghosting;
grève de la faim;
gynocentrisme;
génération [démo];
genre;
goût préférences;
groupe social;
habitus;
hétérogamie;
hétérosocialité;
heuristique;
hexis;
hominisme;
homme;
homme blanc;
héritage;
homosexualité hétérosexualité;
idéologie;
illusio le goût du jeu;
immigration;
imputation causale;
indicateur;
individualisation;
individualisme méthodologique;
inégalité;
inférence statistique [stat];
innovation changement culturel;
insertion sociale;
institution;
intégration;
interaction sociale;
interdépendance;
intérêt;
intermédiarité;
interprétation;
jeu;
justice justification;
légitimité;
lexicométrie;
lien social;
lutte des classes;
- lutte symbolique;
Marché;
mémoire collective;
mobilisation;
mobilité sociale;
modèle scientifique;
mondialisation;
morale;
morphologie sociale;
mouvement ouvrier;
- mouvement social;
Norme;
Observation;
Opinion;
Ordinaire;
ordre social;
organisation;
origine sociale;
ouvrier;
socio-génétique;
sociologie de la consommation la prise de repas Collective les conditions sociales de la production alimentaire;
salaire salariat;
science;
socialisation;
solidarité;
sport sociologie;
stigmatisation;
stratégie;
stratégie de reproduction;
stratification sociale;
structure sociale;
style de vie;
système social;
perte d’unité de la science;
pathologie sociale;
patron patronat;
paysan paysannerie;
politique sociologie politique;
populaire;
position sociale;
pouvoir;
pratique;
précarité;
prix;
problème public, social;
profession;
protection sociale;
qualification formation;
qualification définition;
quantification;
questionnaire;
rapport de forces;
rationalité;
réciprocité;
réflexivité;
régression [stat];
régularité;
relations interpersonnelles, structurelles, statistiques;
relations professionnelles industrielles;
répertoire d’action Collective;
représentation sociale;
- représentation porte-parole;
Reproduction;
réseau social;
ressource;
rite rituel;
rôle;
rural vs. urbain, sociologie rurale vs. sociologie urbaine;
temps sociologie du;
théorie sociologique;
trajectoire;
travail;
valeur éthique;
- valeur sociale;
variable;
vote;
