Fransızca;Türkçe
comparaisons par paires; eşleştirilmiş karşılaştırmalar
Compétence, capacité;beceri
complexe d'Œdipe; Oidipus kompleksi
complexe militaro-industriel;askeri-sınai kompleks 
comportement; davranış
comportement collectif; kolektif davranış
comportement électoral; oy kullanma davranışı
comportement en classe; derslik davranışı
comportement non conforme; uyumcu olmayan davranış
comportement politique; siyasal davranış
comportement social; sosyal davranışçılık
comportementalisme; davranışçılık
comportements liés à la santé; sağlıkla ilintili davranışlar
composition organique du capital; sermayenin organik bileşimi
compréhension;anlama 
compréhension tacite; zımni anlayış
concept; kavram
conception de la recherche;araştırma tasarımı
conception de la recherche ;araştırma tasarımı
conception de soi; özkavrayış
conception expérimentale; deneysel tasarım
conception sur-socialisée de l'homme;aşırı toplumsallaşmış insan anlayışı 
concepts essentiellement contestés; özünde ihtilaflı kavramlar
concours; rekabet
concours mobilité; rekabetçi mobilite
concubinage;birlikte yaşama
concurrence biotique;biyotik rekabet
concurrence écologique; ekolojik rekabet
conditionnel contrefactuel; koşullu karşı-olgusal
conditionnement; koşullandırma
conditionnement classique; klasik koşullandırma
conditionnement opérant ou apprentissage; işlemsel koşullandırma veya öğrenme 
conditions de travail;çalışma koşulları
conditions préalables fonctionnelles; işlevsel gereklilikler
conduite à risque;riskli davranışlar
confiance;güven
confiance et méfiance; güven ve güvensizlik
configuration sociale;yapılandırma sosyal
conflit conflictualité;çatışma 
conflit de classe;sınıf çatışması 
conflit de rôles ;rol çatışması
conflit industriel; endüstriyel çatışma
conflit social; toplumsal çatışma
conflit, conflit social ;çatışma, toplumsal çatışma 
conflit, industriel ;çatışma, endüstriyel 
conformité; rıza
conformité comportementale; davranışsal uyumculuk
Confucianisme; Konfüçyüsçülük
conjoncture; konjonktür
connaissance de base; ortakduyusal ortak bilgi
connaissance des mouvements du corps kinésique;beden hareketleri bilgisi kinesics
connaissance tacite; zımni bilgi
connubium ;connubium 
consanguinité; soydaşlık
conscience collective; kolektif vicdan
conscience de classe; sınıf bilinci
conscience de soi; özfarkındalık
conscience sociale ;toplumsal bilinç
conscience sociale binaire;i̇ki̇li̇ toplumsal bi̇li̇nç
conscience sociale triangulaire;üçgen toplumsal bi̇li̇nç
conscience syndicale; sendikal bilinç
conscience, classe;bilinç, sınıf 
conscience, fausse;bilinç, yanlış, yanlış bilinç 
conscience, sociale;bilinç, toplumsal 
consensus; konsensüs
consensus social; toplumsal konsensüs
conséquences imprévues; tahmin edilmeyen sonuçlar
conséquences involontaires; maksat dışı sonuçlar
conservatisme; muhafazakârlık
consocié;ortak
consommation épargne l’usage d’un bien ou d’un service l’achat;tüketim tasarruf bir mal veya hizmetin kullanımı satın alma
consommation collective; kolektif tüketim
consommation ostentatoire; gösterişçi tüketim
constellation d'intérêts;çıkarlar kümesi 
construction sociale;i̇nşaat sosyal
construction de second ordre; ikinci dereceden kurgular
construction sociale;sosyal i̇nşa
constructionnisme; kurmacılık
Constructions de premier ordre;birinci dereceden kurgular 
constructivisme; konstrüktivizm
consultocratie;danişmanlik
consumérisme;tüketimcilik
contagion;bulaşma 
Contexte;Bağlam
contexte de sensibilisation; farkındalık bağlamı 
contingence tableau de ;olumsallık tablosu 
continuum folklorique-urbain; kır-kent sürekliliği
contractualisme; sözleşmecilik
contradiction;çelişki, çelişme 
contrainte;kısıtlama
contrainte de rôle; rol gerilimi
contraste figure-sol; figür-zemin kontrastı
contrat de travail; sözleşmeli emek
contrat social;toplumsal sözleşme
contrat social ;toplum sözleşmesi
contre-culture; karşı-kültür
contrefactuel; karşı-olgusal
contre-mouvement; karşı-hareket
contrôle; denetim
contrôle communautaire;cemaat denetimi 
contrôle de la qualité du recensement; sayım kalitesi kontrolü
contrôle des armes; silah denetimi 
contrôle expérimental; deneysel denetim
contrôle social ;toplumsal denetim
contrôle statistique ;istatistiki denetim
contrôles sociaux informels; resmi olmayan toplumsal denetimler
controverse;tartışmalı
conurbation; kentlerin birleşmesi
conventionnalisme; uzlaşımcılık
convergence culturelle;kültürel yakınsama
conversionisme; dönme
convivial;kullanıcı dostu
convivialité;şenlik
cool attitude;havalı tavır
coopérative; kooperatif
cooptation; menfaat çemberine alma
cordicole;cordicole
corporatisme; korporatizm
corps l’apprentissage, l’expérience sociale;beden öğrenme, sosyal deneyim
corrélation; korelasyon
corrélation directe; doğrudan korelasyon
corrélation fallacieuse;aldatıcı korelasyon 
corrélation inverse; ters korelasyon
corrélation négative; negatif korelasyon
corrélation positive; pozitif korelasyon
cosmopolitisation;kozmopolitanizm
coup d'État; hükümet darbesi
courbe de Lorenz; Lorenz eğrisi
courbe de Phillips; Phillips eğrisi
courbe d'offre de travail rétrograde;azalmaya eğilimli emek arzı eğrisi 
courbe normale; normal eğri
cousin; kuzen
cousin parallèle; paralel kuzen
cousins croisés;çapraz kuzen 
coutumes; görenekler
covariance;kovaryans
covariation; kovaryasyon birlikte değişme
crédentialisme; meziyetçilik
crime; suç
crime caché; gizli suç
crime organisé; organize suç
crime politique; siyasal suç
crime sans victime ; kurbansız suç
crime social ;toplumsal suç
crime syndiqué; örgütlü suç
crimes de haine; nefret suçları
crimes de l'état; devlet suçları
criminalité; suçluluk
criminalité d'entreprise; şirket suçu
criminalité en col blanc;beyaz yakalı suçu 
criminologie; kriminoloji
criminologie classique; klasik kriminoloji
criminologie critique; eleştirel kriminoloji
criminologie environnementale;çevre kriminolojisi 
criminologie féministe; feminist kriminoloji
criminologie positiviste; pozitivist kriminoloji
criminologie radicale; radikal kriminoloji
criminologie réaliste ;gerçekçi kriminoloji
crise de légitimation; meşruiyet krizi
crise de motivation; güdülenme krizi
crise d'identité; kimlik krizi
crise économique;ekonomik kriz 
crise fiscale; mali kriz
cristallisation du statut; statü berraklaşması
cristallisation, statut;berraklaşma, statü 
croissance économique; iktisadi büyüme
croissance exponentielle; üstel büyüme
croissance linéaire; doğrusal korelasyon
croyance;inanç
culte; kült
culte du cargo; kargo kültü
culturalisme;kültürelcilik
culturation;kültürleme
culture;kültür
culture adaptative;adapte edici kültür 
culture adaptative et matérielle;adapte edici ve maddi kültür 
culture de la pauvreté; yoksulluk kültürü
culture de masse;kitle kültürü
culture de rente; peşin satılık ürün
culture d'entreprise; girişim kültürü
culture des jeunes; gençlik kültürü
culture dominante; egemen kültür
culture du viol;tecavüz kültürü
culture en commun; ortakçılık
culture matérielle; maddi kültür
culture non matérielle; maddi olmayan kültür
culture organisationnelle; örgüt organizasyon kültürü
culture politique; siyasal kültür
culture populaire; popüler kültür
culturème;Kültür
culturer;kültürcü
cyberaddiction;siber bağımlılık
cyberdépendance;siber bağımlılık
cybernétique; sibernetik
cybersociété; siber toplum
cycle fluctuation;döngü dalgalanma
cycle commercial; ticari çevrim
cycle de Kuznets; Kuznets çevrimi
cycle de privation; yoksunluk döngüsü
cycle de vie;yaşam döngüsü 
cycle économique; iktisadi çevrim
cycles à ondes longues; uzun dalga çevrimleri
cycles de Kondratieff; Kondratieff dalgaları
d ecen t red self; merkezsizleşmiş benlik
D'âge en âge; nesilden nesile
darwinisme; Darwincilik
Darwinisme social; Sosyal Darwincilik
de seconde génération;ikinci nesil
débat qualitatif contre quantitatif ;kalitatif-kanlitatif tartışması
débat sur les frontières; sınır tartışması
décalage culturel; kültürel gecikme
décarcération; serbest bırakma
decile range; deşil onabölen aralığı
décivilisation;medeniyetsizleştirme
décommodification;meta olmaktan çıkarma
décomposition du capital; sermayenin ayrışması
décomposition du travail; emeğin ayrışması
déconjugalisation;deconjugalisation
déconstruction; yapıçözüm
décrocheur;bırakma
décrocheuse;bırakma
dédiasporisation;bağlılıktan kurtulma
déduction; tümdengelim
déférence; itaat
définition; tanım
définition de la situation; durum tanımlaması
définition opérationnelle; işlemsel tanım
dégradation du travail; işin değer yitirmesi
déisme; yaradancılık
délégation;delegasyon
délinquance résultat de conditions sociales;suçluluk sosyal koşulların sonucu
délinquance en col blanc;beyaz yaka suçu
délinquance juvénile;çocuk suçluluğu
démobilisation; demobilizasyon
démocratie; demokrasi
démocratie directe; doğrudan demokrasi
démocratie industrielle; endüstriyel demokrasi
démocratie participative; katılımcı demokrasi
démocratie unie ;birlikçi demokrasi 
démocratisation;demokratikleşme
démographie; demografi
démographie historique; tarihsel demografı
démographie sociale ;toplumsal demografi
démonstration expérience; tanıtım deneyi
démoscopie;demoskopi
dénomination; tarikat
densité; yoğunluk
densité dynamique; dinamik yoğunluk
déparentalisation;deparentalizasyon
dépassionnement;duyarsızlaşma
dépaysannisation;depaysanizasyon
dépendance;bağımlı, bağımlılık 
dépendance à l'égard du pouvoir; iktidar bağımlılığı
déplacement; yön değiştirme
dépossédé;mülksüzleştirilmiş
dépossédée;mülksüzleştirilmiş
dépression; depresyon
dépression clinique; klinik depresyon
dépression endogène; iç kaynaklı depresyon
dépression névrotique; nevrotik depresyon
dépression réactive ; tepkisel depresyon
déqualification; vasıfsızlaştırma
dérivations; türemler
dérive délinquante; suça sürüklenme
dérive sociale; toplumsal sürüklenme
déruralisé;nüfus azaltımı
désagricolisation;désagricolisation
désarmement; silahsızlanma
désaveu de la déviance; sapkınlığın inkârı
descendance; soy
descente bilatérale;çift taraflı soy 
descente parallèle; paralel soy
descente unilinéaire ;tekyanlı soy
déscolarisation; okula gitmeme
description épaisse;ayrıntılı betimleme 
description statistique statistique descriptive ;istatistiksel açıklama tanımlayıcı istatistikler 
désensibilisation; duyarsızlaştırma
déséquilibre; dengesizlik
désignations; sapma
désindustrialisation; sanayisizleşme
désir;arzu 
désobéissance civile; sivil itaatsizlik
désocialisation; toplumdan soyutlanma
déspécialisation;özelleşti̇rme
despotisme; despotizm
despotisme oriental; doğu despotizmi
déterminants sociaux;sosyal beli̇rleyi̇ci̇ler
déterminisme; determinizm
déterminisme économique; iktisadi determinizm
déterminisme social;sosyal determinizm
déterminisme technologique; teknolojik determinizm
Deuxième monde; İkinci Dünya
Deuxième révolution industrielle; İkinci Sanayi Devrimi
développement; gelişme
développement sociologie du;gelişim sosyoloji̇si̇
développement de l'enfant;bebeklik, bebeğin gelişimi
développement durable ;sürdürülebilir kalkınma
développement économique; iktisadi gelişine
développement inégal; eşitsiz gelişme
déviance;sapkınlık
déviance primaire et secondaire;birincil ve ikincil sapkınlık 
diables folkloriques; sokak şeytanları
diachronie;artzamanlılık diachrony
diagrammes de dispersion ;nokta serpiştirme grafikleri
diaspora; diaspora
dichotomie; ikilik
dictature du prolétariat; proletarya diktatörlüğü
dieux croyance Collective;tanrılar kolektif inanç
différence; farklılık
différence indirecte; dolaylı farklılık
différenciation; farklılaşma
différenciation des objectifs; hedef farklılaşması
différenciation sociale; toplumsal farklılaşma
différenciation structurelle ;yapısal farklılaşma
difficultés d'apprentissage; öğrenme güçlükleri
diffusion; yayılma
diffusion culturelle; kültürel yayılma
diffusionisme; yayılmacılık
digital native;dijital yerli
dilemme du commerçant;perakendeci̇ni̇n i̇ki̇lemi̇
Dilemme du prisonnier ;Mahkûm'un İkilemi
direction imbriquée; yöneticilik faaliyetlerinin iç içe geçmesi
discours;söylem
discrimination;ayrımcılık 
discrimination sociale fondée sur le sexe;cinsiyet toplumsal ayrımcılığı 
discrimination des stimuli; uyaran ayrımı
discrimination institutionnalisée; kurumsallaşmış ayrımcılık
discrimination inverse ;ters ayrımcılık
discrimination positive; pozitif ayrımcılık
discrimination sexuelle;cinsiyet ayrımcılığı 
discrimination, institutionnalisée;ayrımcılık, kurumsallaşmış
discrimination, positive;ayrımcılık, pozitif 
discriminer;ayrımcılık
dispositif heuristique;bulgulayıcı yöntem 
disposition;eğilim
dissonance; uyumsuzluk
dissonance cognitive;bilişsel uyumsuzluk
dissuasion;caydırma
distance sociale; toplumsal mesafe
distanciation sociale;sosyal mesafe
distinction manuel/non-manuel; kafa-kol emeği ayrımı
distribution; dağılım
distribution bimodale;çift tepe değerli dağılım 
distribution binomiale; iki şıklı dağılım
distribution de fréquences; sıklık dağılımı
distribution de Poisson; Poisson dağılımı
distribution des revenus; gelir dağılımı
distribution normale; normal dağılım
distribution statistique; istatistiki dağılım
diversitaire;kimlikçi
diversité;çeşitlilik
divination; kehanette bulunma
division du travail; işbölümü
