Fransızca;Türkçe
- travail en autonomie; (bağımsız çalışma)
- travailler en autonomie; (bağımsız olarak çalışmak)
Autorité; (yetki, otorite, bilirkişi, hak, uzman, nüfuz, şahit, mercii)
Babyboom; (doğum oranındaki ani artış)
bas peuple ;( alt sınıf, alt tabaka)
biais de désirabilité sociale; (toplumsal cazibe yanlılığı)
bigame; (iki eşlilik)
blanc; (beyaz ırka mensup kimse, beyaz insan)
blanchité; (beyazlık, beyaz üstünlüğü)
bobby-soxer; (ergen kız çocuğu)
body positivisme; (beden olumlama)
bonding; (bağ kurma, bağlama, birleştirme)
bonne société; (orta sınıf)
bourgeoisie (classe sociale); (burjuva sınıfı)
brassage; (insanların birlikte vakit geçirerek temas kurması)
bretonnisation; (britanyaylılaşma)
bridging; (bağlama, köprü kurma)
barrière (à l’entrée) ;(bariyer)
beau (un plaisir esthétique, une construction sociale); (güzel, iyi)
bien symbolique ;(sembolik mal, sembolik mülkiyet)
biographie; (biyografi)
 (biographique; (biyografik)) 
bonheur (un état de bien-être individuel); (mutluluk, neşe)
bureaucratie; (bürokratik)
Deneme; DenemeFr
